,start_time,end_time,event,event_type
0,249,273,arriving,waiter_action
1,273,432,bring:menus,waiter_action
2,432,487,leaving,waiter_action
3,6338,6405,arriving,waiter_action
4,6407,6853,take:info,waiter_action
5,6853,6878,leaving,waiter_action
6,9285,9318,arriving,waiter_action
7,9318,9354,bring:drinks,waiter_action
8,9354,9372,leaving,waiter_action
9,15696,15710,arriving,waiter_action
10,15710,15771,bring:drinks,waiter_action
11,15771,15797,leaving,waiter_action
12,22046,22087,arriving,waiter_action
13,22087,22769,take:order,waiter_action
14,22769,22801,leaving,waiter_action
15,36616,36643,arriving,waiter_action
16,36643,36733,bring:food,waiter_action
17,36733,36778,leaving,waiter_action
18,42891,42944,arriving,waiter_action
19,42944,43132,take:info,waiter_action
20,43137,43199,leaving,waiter_action
21,47042,47188,arriving,waiter_action
22,47189,47247,take:info,waiter_action
23,47248,47313,leaving,waiter_action
24,48091,48157,arriving,waiter_action
25,48157,48227,take:dishes,waiter_action
26,48227,48292,take:dishes,waiter_action
27,48293,48360,leaving,waiter_action
28,61675,61712,arriving,waiter_action
29,61712,61916,bring:food,waiter_action
30,61917,61935,leaving,waiter_action
31,63315,63394,arriving,waiter_action
32,63394,63478,take:info,waiter_action
33,63478,63577,leaving,waiter_action
34,71504,71549,arriving,waiter_action
35,71549,71575,bring:drinks,waiter_action
36,71575,71607,leaving,waiter_action
37,91093,91183,arriving,waiter_action
38,91183,91278,take:info,waiter_action
39,91278,91298,leaving,waiter_action
40,92497,92555,arriving,waiter_action
41,92559,92688,bring:boxes,waiter_action
42,92692,92755,leaving,waiter_action
43,96674,96702,arriving,waiter_action
44,96702,96721,bring:bill,waiter_action
45,96722,96786,take:dishes,waiter_action
46,96788,96810,leaving,waiter_action
47,99733,99771,arriving,waiter_action
48,99771,99794,take:bill,waiter_action
49,99794,99838,leaving,waiter_action
50,103243,103276,arriving,waiter_action
51,103276,103417,bring:check,waiter_action
52,103419,103461,leaving,waiter_action
53,104872,104895,arriving,waiter_action
54,104895,104975,take:info,waiter_action
55,104977,105005,leaving,waiter_action
56,121685,121730,arriving,waiter_action
57,121731,123211,clear:table,waiter_action
58,2700,21720,reading-menus,customer_state
59,21750,22020,ready-to-order,customer_state
60,22170,22680,ready-for-cleanup,customer_state
61,36720,43230,eating,customer_state
62,43275,48045,ready-for-cleanup,customer_state
63,61650,89220,eating,customer_state
64,89220,92520,ready-for-cleanup,customer_state
65,96060,96750,ready-for-bill,customer_state
66,96945,103110,ready-for-final-check,customer_state
67,103110,104820,ready-for-final-check,customer_state
68,106620,116280,ready-to-leave,customer_state
